ethnicity,certified
Asian American,2/26/2021
African American,2/26/2021
Hispanic American,2/26/2021
Hispanic American,2/26/2021
African American,2/26/2021
African American,2/26/2021
Caucasian,2/26/2021
Hispanic American,2/26/2021
African American,2/26/2021
African American,2/26/2021
Caucasian,2/26/2021
Caucasian,2/26/2021
African American,2/26/2020
Hispanic American,2/26/2020
African American,2/26/2020
Caucasian,2/26/2020
African American,2/26/2020
African American,2/26/2020
African American,2/26/2018
African American,2/26/2018
Asian American,2/26/2018
Hispanic American,2/25/2021
African American,2/25/2021
Hispanic American,2/25/2021
Hispanic American,2/25/2021
Caucasian,2/25/2021
Caucasian,2/25/2021
African American,2/25/2021
Asian American,2/25/2021
Hispanic American,2/25/2021
Asian American,2/25/2021
Hispanic American,2/25/2021
Hispanic American,2/25/2021
African American,2/25/2021
Hispanic American,2/25/2021
Hispanic American,2/25/2020
Asian American,2/25/2020
Caucasian,2/25/2020
Asian American,2/25/2020
Hispanic American,2/25/2020
African American,2/25/2020
African American,2/25/2016
African American,2/25/2016
African American,2/25/2016
African American,2/25/2016
African American,2/25/2016
Hispanic American,2/24/2021
Caucasian,2/24/2021
African American,2/24/2021
African American,2/24/2021
Hispanic American,2/24/2021
Hispanic American,2/24/2021
African American,2/24/2020
Hispanic American,2/24/2017
Caucasian,2/24/2017
Hispanic American,2/23/2021
African American,2/23/2021
African American,2/23/2021
African American,2/23/2021
African American,2/23/2021
Hispanic American,2/23/2021
Caucasian,2/23/2021
Hispanic American,2/23/2021
Caucasian,2/23/2021
Hispanic American,2/23/2021
Hispanic American,2/23/2021
Hispanic American,2/23/2021
Caucasian,2/23/2021
Hispanic American,2/23/2018
African American,2/23/2018
Hispanic American,2/23/2018
African American,2/23/2018
African American,2/23/2016
Asian American,2/23/2016
African American,2/23/2016
Asian American,2/23/2016
Hispanic American,2/22/2021
African American,2/22/2021
Hispanic American,2/22/2021
Asian American,2/22/2021
Caucasian,2/22/2021
Hispanic American,2/22/2021
African American,2/22/2021
African American,2/22/2021
African American,2/22/2021
Caucasian,2/22/2021
African American,2/22/2021
Caucasian,2/22/2021
African American,2/22/2021
African American,2/22/2019
African American,2/22/2019
Hispanic American,2/22/2019
Hispanic American,2/22/2019
African American,2/22/2019
African American,2/22/2019
Hispanic American,2/22/2019
African American,2/22/2019
African American,2/22/2019
African American,2/22/2019
African American,2/22/2017
Caucasian,2/22/2017
African American,2/21/2020
African American,2/21/2020
Hispanic American,2/21/2020
African American,2/21/2020
African American,2/21/2020
Asian American,2/21/2020
Hispanic American,2/21/2020
African American,2/21/2019
Hispanic American,2/21/2019
Caucasian,2/21/2018
African American,2/20/2021
African American,2/20/2021
Hispanic American,2/20/2021
Caucasian,2/20/2020
Hispanic American,2/20/2020
African American,2/20/2020
African American,2/20/2020
African American,2/20/2020
Caucasian,2/20/2020
African American,2/20/2020
African American,2/20/2020
Hispanic American,2/20/2020
African American,2/20/2020
African American,2/20/2020
Caucasian,2/20/2020
African American,2/20/2020
Caucasian,2/20/2020
Hispanic American,2/20/2020
Caucasian,2/20/2018
Asian American,2/20/2015
Hispanic American,2/2/2021
African American,2/2/2021
African American,2/2/2021
Caucasian,2/2/2021
Hispanic American,2/2/2021
Hispanic American,2/2/2021
Hispanic American,2/2/2021
African American,2/2/2021
African American,2/2/2021
Hispanic American,2/2/2021
Hispanic American,2/2/2021
African American,2/2/2021
Caucasian,2/2/2021
African American,2/2/2017
Caucasian,2/19/2021
Caucasian,2/19/2021
African American,2/19/2021
African American,2/19/2020
Caucasian,2/19/2020
Asian American,2/19/2020
Hispanic American,2/18/2021
African American,2/18/2021
African American,2/18/2021
Caucasian,2/18/2021
African American,2/18/2021
African American,2/18/2021
African American,2/18/2020
Hispanic American,2/18/2020
African American,2/18/2020
African American,2/18/2013
African American,2/18/2013
Caucasian,2/17/2021
African American,2/17/2021
African American,2/17/2021
Asian American,2/17/2021
African American,2/17/2021
African American,2/17/2021
African American,2/17/2021
Asian American,2/17/2021
African American,2/17/2021
African American,2/17/2021
African American,2/17/2021
African American,2/16/2021
African American,2/16/2021
African American,2/16/2021
Caucasian,2/16/2021
African American,2/16/2021
Hispanic American,2/16/2021
African American,2/16/2018
Hispanic American,2/16/2018
Hispanic American,2/16/2018
African American,2/16/2018
Caucasian,2/16/2018
Native American,2/16/2017
Caucasian,2/15/2020
African American,2/15/2017
African American,2/14/2021
African American,2/14/2021
Caucasian,2/14/2020
Hispanic American,2/14/2020
African American,2/14/2020
Caucasian,2/14/2019
Caucasian,2/14/2014
African American,2/13/2020
Caucasian,2/13/2020
Caucasian,2/13/2020
African American,2/13/2018
Hispanic American,2/11/2021
African American,2/11/2021
Hispanic American,2/11/2021
Hispanic American,2/11/2021
African American,2/11/2021
Caucasian,2/11/2021
Asian Indian,2/11/2021
Hispanic American,2/11/2021
Caucasian,2/11/2021
African American,2/11/2020
African American,2/11/2020
African American,2/11/2020
African American,2/11/2020
Hispanic American,2/11/2020
Caucasian,2/11/2020
African American,2/11/2020
Caucasian,2/11/2019
African American,2/11/2019
Caucasian,2/11/2014
African American,2/10/2021
Caucasian,2/10/2021
Hispanic American,2/10/2020
Hispanic American,2/10/2020
African American,2/10/2020
Asian American,2/10/2020
Caucasian,2/10/2020
African American,2/10/2020
African American,2/10/2020
African American,2/10/2020
Hispanic American,2/1/2021
Caucasian,2/1/2021
African American,2/1/2021
African American,2/1/2021
Caucasian,2/1/2018
Caucasian,2/1/2005
African American,12/9/2020
Asian American,12/9/2020
Asian American,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Asian American,12/9/2020
African American,12/9/2020
Caucasian,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
African American,12/9/2020
African American,12/9/2020
African American,12/9/2020
African American,12/9/2020
Caucasian,12/9/2020
African American,12/9/2020
Caucasian,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Hispanic American,12/9/2020
Caucasian,12/9/2020
African American,12/9/2019
Caucasian,12/9/2019
African American,12/9/2019
African American,12/9/2019
Caucasian,12/8/2020
Caucasian,12/8/2020
Caucasian,12/8/2020
Asian American,12/8/2020
Caucasian,12/8/2020
Hispanic American,12/8/2020
African American,12/8/2020
African American,12/8/2020
Caucasian,12/8/2020
Hispanic American,12/8/2020
Caucasian,12/8/2020
Hispanic American,12/8/2020
Caucasian,12/8/2020
African American,12/8/2020
Caucasian,12/8/2020
Caucasian,12/8/2020
Asian American,12/8/2017
Asian Indian,12/7/2020
African American,12/7/2020
Hispanic American,12/7/2020
Hispanic American,12/7/2020
African American,12/7/2020
Hispanic American,12/7/2020
Hispanic American,12/7/2020
African American,12/7/2020
Asian American,12/7/2020
Hispanic American,12/7/2020
Caucasian,12/7/2020
Asian American,12/7/2020
Caucasian,12/7/2020
Asian American,12/7/2018
Asian American,12/7/2018
Hispanic American,12/7/2017
Caucasian,12/5/2019
Caucasian,12/5/2019
African American,12/5/2017
African American,12/5/2016
African American,12/5/2016
Caucasian,12/4/2020
Asian American,12/4/2020
African American,12/4/2020
African American,12/4/2020
African American,12/4/2020
Hispanic American,12/4/2020
Caucasian,12/4/2020
Caucasian,12/4/2020
Asian American,12/4/2020
Hispanic American,12/4/2020
Caucasian,12/4/2020
Hispanic American,12/4/2020
African American,12/4/2019
African American,12/4/2017
Caucasian,12/4/2017
African American,12/4/2017
Caucasian,12/4/2017
Caucasian,12/4/2017
Asian American,12/4/2017
Hispanic American,12/4/2017
Caucasian,12/4/2015
African American,12/31/2020
Caucasian,12/31/2020
African American,12/31/2019
African American,12/31/2019
Hispanic American,12/31/2019
Caucasian,12/31/2018
Caucasian,12/30/2019
Caucasian,12/30/2019
Caucasian,12/30/2019
Caucasian,12/30/2019
Hispanic American,12/30/2019
Hispanic American,12/30/2019
Hispanic American,12/3/2020
Hispanic American,12/3/2020
African American,12/3/2020
African American,12/29/2020
African American,12/29/2020
Hispanic American,12/28/2020
Hispanic American,12/28/2020
Hispanic American,12/28/2018
African American,12/27/2019
African American,12/27/2019
African American,12/27/2019
African American,12/27/2019
African American,12/27/2019
Asian American,12/27/2019
Asian American,12/27/2019
African American,12/27/2018
Asian American,12/27/2018
Hispanic American,12/27/2018
Caucasian,12/26/2019
Hispanic American,12/26/2018
African American,12/26/2018
African American,12/26/2018
Caucasian,12/26/2018
African American,12/24/2020
Hispanic American,12/24/2020
Hispanic American,12/24/2020
Hispanic American,12/24/2020
Asian American,12/24/2020
African American,12/24/2020
Hispanic American,12/24/2020
African American,12/24/2019
Hispanic American,12/23/2020
Hispanic American,12/23/2020
Hispanic American,12/23/2020
African American,12/23/2020
Caucasian,12/23/2020
African American,12/23/2019
Hispanic American,12/22/2020
Hispanic American,12/22/2020
African American,12/22/2020
African American,12/22/2020
African American,12/22/2020
African American,12/22/2020
African American,12/22/2020
Hispanic American,12/21/2020
African American,12/21/2020
African American,12/21/2020
African American,12/21/2020
Asian American,12/21/2020
Hispanic American,12/21/2020
African American,12/21/2020
African American,12/21/2020
Asian American,12/21/2020
Hispanic American,12/21/2020
Asian American,12/21/2020
African American,12/21/2020
Asian American,12/21/2020
Asian American,12/21/2020
African American,12/20/2019
Hispanic American,12/20/2019
Asian Indian,12/20/2019
African American,12/20/2019
African American,12/20/2019
African American,12/20/2018
African American,12/20/2018
African American,12/20/2018
African American,12/20/2016
Asian American,12/2/2020
African American,12/2/2020
Caucasian,12/2/2020
African American,12/2/2020
African American,12/2/2020
African American,12/2/2020
African American,12/2/2020
Hispanic American,12/2/2020
Hispanic American,12/2/2020
African American,12/2/2020
African American,12/2/2020
Hispanic American,12/2/2015
Hispanic American,12/2/2015
Caucasian,12/19/2019
Asian American,12/19/2019
Caucasian,12/19/2016
African American,12/18/2020
African American,12/18/2020
Caucasian,12/18/2020
Caucasian,12/18/2020
African American,12/18/2020
Asian American,12/18/2017
Asian American,12/18/2017
African American,12/17/2020
Caucasian,12/17/2020
Hispanic American,12/17/2020
Caucasian,12/17/2018
Caucasian,12/16/2020
Hispanic American,12/16/2020
Caucasian,12/16/2020
Caucasian,12/16/2020
African American,12/16/2020
Caucasian,12/16/2020
African American,12/16/2020
Caucasian,12/16/2020
Hispanic American,12/16/2020
Caucasian,12/16/2020
African American,12/16/2019
African American,12/16/2019
African American,12/16/2019
Hispanic American,12/16/2014
Caucasian,12/15/2020
African American,12/15/2020
Hispanic American,12/15/2020
Asian American,12/15/2020
Caucasian,12/15/2020
Caucasian,12/15/2020
Hispanic American,12/15/2020
Hispanic American,12/15/2017
Hispanic American,12/15/2016
Asian American,12/14/2020
Caucasian,12/14/2020
African American,12/14/2020
African American,12/14/2020
Hispanic American,12/14/2020
Caucasian,12/14/2020
African American,12/14/2020
African American,12/14/2020
African American,12/14/2020
Asian American,12/14/2020
African American,12/14/2020
Asian American,12/14/2020
Hispanic American,12/14/2020
Hispanic American,12/14/2020
Caucasian,12/14/2020
Caucasian,12/14/2020
Hispanic American,12/14/2020
Caucasian,12/14/2020
Caucasian,12/14/2020
African American,12/14/2020
Asian American,12/14/2020
African American,12/14/2020
African American,12/14/2020
African American,12/14/2020
African American,12/14/2020
Asian American,12/14/2020
Asian American,12/14/2020
Asian American,12/14/2020
Caucasian,12/14/2020
Asian American,12/14/2020
African American,12/14/2018
African American,12/14/2018
Caucasian,12/13/2019
African American,12/13/2019
African American,12/13/2019
Asian American,12/13/2019
Caucasian,12/12/2019
Hispanic American,12/12/2019
African American,12/12/2019
African American,12/12/2019
African American,12/12/2019
Caucasian,12/12/2019
African American,12/12/2019
Asian American,12/11/2020
African American,12/11/2020
African American,12/11/2020
African American,12/11/2020
Caucasian,12/11/2020
African American,12/11/2020
African American,12/11/2020
Hispanic American,12/11/2019
Caucasian,12/11/2019
Hispanic American,12/11/2019
African American,12/11/2018
African American,12/10/2020
Caucasian,12/10/2020
Hispanic American,12/10/2020
African American,12/10/2020
Hispanic American,12/10/2020
Hispanic American,12/10/2020
African American,12/10/2020
Caucasian,12/10/2019
Hispanic American,12/10/2019
Caucasian,12/10/2018
African American,12/1/2020
African American,12/1/2020
African American,12/1/2020
Hispanic American,12/1/2017
African American,12/1/2014
African American,11/9/2020
African American,11/9/2020
African American,11/9/2020
African American,11/9/2020
Asian American,11/9/2016
Asian American,11/9/2016
African American,11/8/2018
African American,11/8/2018
African American,11/8/2018
African American,11/8/2017
Caucasian,11/7/2020
Hispanic American,11/7/2018
Asian American,11/7/2017
Caucasian,11/7/2017
Caucasian,11/7/2016
Caucasian,11/7/2016
Caucasian,11/7/2016
Asian American,11/6/2020
Hispanic American,11/6/2020
Hispanic American,11/6/2020
Hispanic American,11/6/2020
African American,11/6/2020
African American,11/6/2020
Caucasian,11/6/2020
Hispanic American,11/6/2019
Hispanic American,11/6/2019
Asian American,11/6/2017
Caucasian,11/5/2020
Caucasian,11/5/2020
African American,11/5/2020
African American,11/5/2020
Hispanic American,11/5/2020
Hispanic American,11/5/2020
Hispanic American,11/5/2020
African American,11/5/2020
Hispanic American,11/5/2020
African American,11/5/2020
African American,11/5/2020
Hispanic American,11/5/2020
Hispanic American,11/5/2020
Asian American,11/5/2020
Asian American,11/5/2020
Hispanic American,11/5/2020
Hispanic American,11/5/2018
African American,11/4/2020
Hispanic American,11/4/2020
African American,11/4/2020
Hispanic American,11/4/2020
African American,11/4/2020
African American,11/4/2020
Caucasian,11/4/2020
Caucasian,11/4/2020
African American,11/4/2020
African American,11/4/2020
Caucasian,11/4/2020
African American,11/4/2020
African American,11/4/2020
African American,11/4/2020
African American,11/4/2020
Hispanic American,11/4/2019
Hispanic American,11/4/2019
Hispanic American,11/4/2019
Caucasian,11/4/2016
African American,11/4/2014
African American,11/30/2020
Hispanic American,11/30/2020
Hispanic American,11/30/2020
African American,11/30/2020
African American,11/30/2017
African American,11/30/2016
African American,11/30/2016
African American,11/3/2020
African American,11/3/2020
African American,11/3/2020
African American,11/3/2020
African American,11/3/2020
African American,11/3/2020
Caucasian,11/3/2020
African American,11/3/2020
Hispanic American,11/3/2017
Caucasian,11/3/2017
Caucasian,11/3/2016
African American,11/3/2016
Hispanic American,11/28/2016
African American,11/28/2016
Hispanic American,11/28/2016
African American,11/27/2020
Hispanic American,11/27/2020
Hispanic American,11/27/2020
Hispanic American,11/27/2020
African American,11/27/2020
Hispanic American,11/26/2019
African American,11/26/2019
African American,11/26/2019
African American,11/26/2019
Hispanic American,11/26/2019
African American,11/26/2019
Hispanic American,11/26/2019
Asian American,11/25/2020
Hispanic American,11/25/2020
Hispanic American,11/25/2020
Caucasian,11/25/2019
Hispanic American,11/25/2019
Caucasian,11/25/2019
Caucasian,11/25/2019
Caucasian,11/25/2019
African American,11/25/2019
Asian American,11/25/2016
Asian American,11/25/2016
African American,11/24/2020
Hispanic American,11/24/2020
Asian American,11/24/2020
Asian American,11/24/2020
Hispanic American,11/24/2020
Hispanic American,11/24/2020
Hispanic American,11/24/2020
African American,11/24/2020
Asian American,11/24/2020
African American,11/24/2020
Hispanic American,11/24/2020
African American,11/24/2020
African American,11/24/2020
African American,11/24/2020
Caucasian,11/24/2020
Caucasian,11/24/2020
African American,11/24/2020
African American,11/24/2020
Hispanic American,11/24/2020
Caucasian,11/24/2020
African American,11/24/2020
African American,11/24/2020
Asian American,11/24/2020
Asian American,11/24/2020
African American,11/24/2020
Asian American,11/24/2020
Asian American,11/24/2020
Hispanic American,11/24/2020
Asian American,11/24/2020
Caucasian,11/24/2020
Caucasian,11/24/2020
African American,11/24/2020
Asian American,11/24/2020
Hispanic American,11/24/2020
Caucasian,11/23/2020
Caucasian,11/23/2020
Asian American,11/23/2020
Hispanic American,11/23/2020
Hispanic American,11/23/2020
Hispanic American,11/23/2020
Asian American,11/23/2020
Asian American,11/23/2020
African American,11/23/2020
African American,11/23/2019
African American,11/22/2019
Caucasian,11/22/2019
Hispanic American,11/22/2017
Caucasian,11/20/2020
African American,11/20/2020
African American,11/20/2020
African American,11/20/2020
African American,11/20/2020
Hispanic American,11/20/2020
Asian American,11/20/2020
African American,11/20/2020
Caucasian,11/20/2019
African American,11/20/2018
Hispanic American,11/2/2020
Hispanic American,11/2/2020
African American,11/2/2020
Asian American,11/2/2020
African American,11/2/2020
Asian American,11/2/2020
Caucasian,11/2/2020
Hispanic American,11/2/2020
Asian American,11/2/2020
Caucasian,11/2/2018
Hispanic American,11/2/2017
Asian American,11/2/2017
Hispanic American,11/2/2017
African American,11/19/2020
Hispanic American,11/19/2020
Asian American,11/19/2020
Hispanic American,11/19/2020
African American,11/19/2020
African American,11/19/2020
African American,11/19/2020
African American,11/19/2018
African American,11/19/2018
Hispanic American,11/19/2018
African American,11/19/2018
African American,11/19/2018
African American,11/19/2018
Hispanic American,11/18/2020
African American,11/18/2020
Caucasian,11/18/2020
Asian American,11/18/2020
African American,11/18/2020
African American,11/18/2020
Asian American,11/18/2020
Caucasian,11/18/2015
African American,11/17/2020
Hispanic American,11/17/2020
African American,11/17/2020
African American,11/17/2020
African American,11/17/2020
African American,11/17/2020
African American,11/17/2020
Hispanic American,11/17/2020
Asian American,11/17/2020
Hispanic American,11/16/2020
Hispanic American,11/16/2020
Caucasian,11/16/2020
Caucasian,11/16/2020
Hispanic American,11/16/2020
African American,11/16/2020
Caucasian,11/16/2018
Hispanic American,11/15/2019
African American,11/15/2019
Hispanic American,11/15/2019
African American,11/15/2019
African American,11/15/2019
African American,11/15/2019
Caucasian,11/14/2019
Caucasian,11/14/2019
Caucasian,11/14/2018
Caucasian,11/14/2017
Hispanic American,11/13/2020
Caucasian,11/13/2020
Hispanic American,11/13/2020
Hispanic American,11/13/2020
Hispanic American,11/13/2020
African American,11/13/2018
African American,11/13/2018
Asian American,11/13/2018
African American,11/13/2017
African American,11/13/2017
Asian American,11/12/2020
Caucasian,11/12/2020
Hispanic American,11/12/2020
Caucasian,11/12/2020
African American,11/12/2020
Caucasian,11/12/2020
African American,11/12/2020
Caucasian,11/12/2019
Caucasian,11/12/2019
Hispanic American,11/10/2020
Hispanic American,11/10/2020
Asian American,11/10/2020
Caucasian,11/10/2020
Hispanic American,11/10/2020
Caucasian,11/10/2020
Caucasian,11/10/2020
African American,11/10/2020
Hispanic American,11/10/2020
Hispanic American,11/10/2020
Asian American,11/10/2020
Hispanic American,11/10/2020
Hispanic American,11/10/2020
Caucasian,11/10/2020
Asian American,11/10/2015
Asian American,11/1/2020
African American,11/1/2020
African American,11/1/2020
Asian American,11/1/2020
Asian American,11/1/2020
African American,11/1/2020
African American,11/1/2019
African American,11/1/2019
Caucasian,11/1/2017
Hispanic American,11/1/2016
Caucasian,11/1/2016
Hispanic American,11/1/2016
African American,10/9/2020
African American,10/9/2020
Caucasian,10/9/2019
Caucasian,10/9/2019
African American,10/9/2018
African American,10/8/2020
Caucasian,10/8/2020
African American,10/8/2020
African American,10/8/2020
Hispanic American,10/8/2020
Hispanic American,10/8/2020
African American,10/8/2020
Caucasian,10/8/2020
Asian Indian,10/8/2020
Hispanic American,10/8/2020
Asian American,10/8/2019
Asian American,10/8/2019
Asian American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2020
Asian American,10/7/2020
African American,10/7/2020
Asian American,10/7/2020
Hispanic American,10/7/2020
Asian Indian,10/7/2020
Caucasian,10/7/2020
Hispanic American,10/7/2020
Caucasian,10/7/2020
Asian American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2020
African American,10/7/2019
African American,10/7/2016
African American,10/7/2014
African American,10/6/2020
Hispanic American,10/6/2020
Asian American,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
Hispanic American,10/6/2020
Hispanic American,10/6/2020
Asian American,10/6/2020
African American,10/6/2020
Caucasian,10/6/2020
Caucasian,10/6/2020
Caucasian,10/6/2020
Caucasian,10/6/2020
Hispanic American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2020
African American,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2020
African American,10/6/2020
Caucasian,10/6/2020
African American,10/6/2020
African American,10/6/2020
Caucasian,10/6/2020
Caucasian,10/6/2020
Asian American,10/6/2020
Caucasian,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2020
Hispanic American,10/6/2020
African American,10/6/2016
Caucasian,10/5/2020
Asian Indian,10/5/2020
Caucasian,10/5/2020
Hispanic American,10/5/2017
Caucasian,10/4/2019
African American,10/31/2019
African American,10/31/2019
African American,10/31/2019
African American,10/31/2019
Hispanic American,10/31/2019
Caucasian,10/31/2016
African American,10/30/2020
Caucasian,10/30/2020
Hispanic American,10/30/2020
Caucasian,10/30/2020
Hispanic American,10/30/2020
African American,10/30/2020
African American,10/30/2020
African American,10/30/2020
African American,10/30/2020
Caucasian,10/30/2020
Asian American,10/30/2019
African American,10/3/2019
African American,10/3/2019
African American,10/3/2019
Caucasian,10/3/2018
Caucasian,10/3/2016
Caucasian,10/3/2016
Caucasian,10/3/2016
African American,10/29/2020
Hispanic American,10/29/2020
African American,10/29/2020
Caucasian,10/29/2020
African American,10/29/2020
African American,10/29/2020
Asian American,10/29/2020
Caucasian,10/29/2020
African American,10/29/2020
African American,10/29/2020
Hispanic American,10/29/2020
African American,10/29/2019
Asian American,10/29/2019
African American,10/29/2018
Hispanic American,10/29/2018
African American,10/29/2018
African American,10/29/2018
Hispanic American,10/28/2020
African American,10/28/2020
African American,10/28/2020
African American,10/28/2020
African American,10/28/2020
African American,10/28/2020
African American,10/28/2020
Hispanic American,10/27/2020
Hispanic American,10/27/2020
African American,10/27/2020
Hispanic American,10/27/2020
Asian American,10/27/2020
Hispanic American,10/27/2020
African American,10/27/2020
Asian American,10/27/2020
Caucasian,10/27/2020
Caucasian,10/27/2020
Hispanic American,10/27/2020
African American,10/27/2020
Hispanic American,10/27/2020
Caucasian,10/27/2020
African American,10/27/2020
Asian American,10/27/2020
Hispanic American,10/27/2020
Caucasian,10/27/2020
African American,10/27/2020
Caucasian,10/27/2020
Caucasian,10/27/2017
Hispanic American,10/27/2016
African American,10/26/2020
Hispanic American,10/26/2020
African American,10/26/2020
African American,10/26/2020
African American,10/26/2020
Asian American,10/26/2020
African American,10/26/2020
African American,10/26/2017
African American,10/26/2017
African American,10/26/2016
African American,10/25/2019
African American,10/25/2019
African American,10/25/2019
African American,10/25/2019
Caucasian,10/25/2017
Hispanic American,10/24/2019
African American,10/24/2019
African American,10/24/2019
African American,10/24/2019
Hispanic American,10/24/2019
Hispanic American,10/24/2016
Hispanic American,10/23/2020
African American,10/23/2020
African American,10/23/2020
Caucasian,10/23/2020
African American,10/23/2020
African American,10/23/2020
Caucasian,10/23/2019
African American,10/23/2018
African American,10/22/2020
Hispanic American,10/22/2020
African American,10/22/2020
Hispanic American,10/22/2020
African American,10/22/2020
African American,10/22/2020
Asian American,10/22/2020
Asian American,10/22/2020
African American,10/22/2020
Hispanic American,10/22/2020
Caucasian,10/22/2020
Asian American,10/22/2020
African American,10/22/2018
Caucasian,10/22/2018
African American,10/22/2015
Hispanic American,10/22/2014
Hispanic American,10/22/2014
African American,10/21/2020
Asian American,10/21/2020
Asian American,10/21/2020
Asian American,10/21/2020
African American,10/21/2020
African American,10/21/2020
Caucasian,10/21/2020
Caucasian,10/21/2020
Caucasian,10/21/2020
African American,10/21/2020
Asian American,10/21/2020
African American,10/21/2020
African American,10/21/2020
African American,10/21/2020
African American,10/21/2020
African American,10/21/2020
African American,10/21/2020
African American,10/21/2020
Caucasian,10/21/2020
Hispanic American,10/21/2020
Hispanic American,10/21/2020
Hispanic American,10/21/2020
Asian American,10/21/2020
Caucasian,10/21/2019
African American,10/21/2019
African American,10/21/2019
African American,10/21/2016
Caucasian,10/21/2016
African American,10/21/2016
Asian American,10/21/2013
Asian American,10/20/2020
Hispanic American,10/20/2020
Hispanic American,10/20/2020
African American,10/20/2020
Hispanic American,10/20/2020
African American,10/20/2020
Caucasian,10/20/2020
Hispanic American,10/20/2020
Hispanic American,10/20/2020
Caucasian,10/20/2020
African American,10/20/2020
Asian American,10/20/2020
Asian American,10/20/2020
African American,10/20/2020
African American,10/20/2020
Hispanic American,10/20/2020
Hispanic American,10/20/2020
Hispanic American,10/20/2020
Caucasian,10/20/2020
Caucasian,10/20/2020
Asian American,10/20/2020
Caucasian,10/20/2017
African American,10/2/2020
African American,10/2/2020
African American,10/2/2020
African American,10/2/2020
African American,10/2/2020
African American,10/2/2020
Hispanic American,10/2/2019
Caucasian,10/2/2019
African American,10/2/2018
Hispanic American,10/19/2020
Hispanic American,10/19/2020
Hispanic American,10/19/2020
Caucasian,10/19/2020
Caucasian,10/19/2020
Hispanic American,10/19/2020
African American,10/19/2018
Caucasian,10/19/2018
Hispanic American,10/19/2018
Hispanic American,10/19/2018
African American,10/19/2018
African American,10/19/2018
Caucasian,10/19/2017
African American,10/19/2017
Asian American,10/19/2017
Asian American,10/19/2017
Asian American,10/19/2016
Hispanic American,10/18/2019
Asian American,10/18/2019
African American,10/18/2018
Caucasian,10/17/2019
African American,10/17/2019
African American,10/17/2019
African American,10/16/2020
African American,10/16/2020
African American,10/16/2020
Hispanic American,10/16/2020
African American,10/16/2020
African American,10/16/2020
Hispanic American,10/16/2020
Hispanic American,10/16/2020
African American,10/16/2020
Asian American,10/16/2020
Asian American,10/16/2020
African American,10/16/2020
African American,10/16/2020
Caucasian,10/16/2020
African American,10/16/2020
Hispanic American,10/16/2020
African American,10/16/2020
Caucasian,10/16/2020
Hispanic American,10/16/2020
Asian American,10/16/2020
Hispanic American,10/16/2020
African American,10/16/2020
Asian American,10/16/2020
Caucasian,10/16/2020
Asian American,10/16/2020
Caucasian,10/16/2019
Caucasian,10/16/2019
Caucasian,10/16/2019
Caucasian,10/16/2019
Caucasian,10/16/2019
African American,10/16/2018
African American,10/16/2018
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Caucasian,10/15/2020
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Hispanic American,10/15/2020
Caucasian,10/15/2020
African American,10/15/2019
Hispanic American,10/15/2019
African American,10/15/2019
African American,10/15/2014
Caucasian,10/14/2020
Asian American,10/14/2020
African American,10/14/2020
African American,10/14/2020
African American,10/14/2020
Hispanic American,10/14/2020
Asian American,10/14/2020
Hispanic American,10/14/2019
African American,10/14/2019
African American,10/13/2020
African American,10/13/2020
African American,10/13/2020
Hispanic American,10/13/2020
African American,10/13/2020
Caucasian,10/13/2020
Hispanic American,10/13/2020
Hispanic American,10/13/2020
African American,10/13/2020
African American,10/13/2020
African American,10/13/2020
Caucasian,10/13/2020
Caucasian,10/13/2020
African American,10/13/2020
African American,10/12/2016
African American,10/12/2016
Hispanic American,10/11/2019
African American,10/11/2019
African American,10/11/2019
Hispanic American,10/11/2018
Caucasian,10/11/2017
Caucasian,10/11/2016
African American,10/10/2018
African American,10/10/2018
African American,10/1/2020
Caucasian,10/1/2020
Hispanic American,10/1/2020
Caucasian,10/1/2020
Asian American,10/1/2020
Asian American,10/1/2020
Caucasian,10/1/2018
Caucasian,1/9/2020
Hispanic American,1/9/2017
African American,1/8/2021
Hispanic American,1/8/2021
Hispanic American,1/8/2021
African American,1/8/2021
African American,1/8/2021
Asian American,1/8/2021
African American,1/8/2021
African American,1/8/2021
African American,1/8/2021
Hispanic American,1/8/2020
African American,1/8/2020
Hispanic American,1/8/2020
Caucasian,1/8/2020
African American,1/8/2020
African American,1/8/2020
Asian American,1/8/2018
